device_hcpcs,procedure_hcpcs,device_modifier,procedure_modifier,percent_multiplier,effective_date,end_date
C1052,43255,,52,0.0272,20230101,20231231
C1052,43255,,73,0.0272,20230101,20231231
C1052,43255,,74,0.0272,20230101,20231231
C1052,43255,,,0.0272,20230101,20231231
C1052,44366,,52,0.0192,20230101,20231231
C1052,44366,,73,0.0192,20230101,20231231
C1052,44366,,74,0.0192,20230101,20231231
C1052,44366,,,0.0192,20230101,20231231
C1052,44378,,52,0.0449,20230101,20231231
C1052,44378,,73,0.0449,20230101,20231231
C1052,44378,,74,0.0449,20230101,20231231
C1052,44378,,,0.0449,20230101,20231231
C1052,45334,,52,0.0241,20230101,20231231
C1052,45334,,73,0.0241,20230101,20231231
C1052,45334,,74,0.0241,20230101,20231231
C1052,45334,,,0.0241,20230101,20231231
C1052,45382,,52,0.0295,20230101,20231231
C1052,45382,,73,0.0295,20230101,20231231
C1052,45382,,74,0.0295,20230101,20231231
C1052,45382,,,0.0295,20230101,20231231
C1062,22513,,52,0.2167,20230101,20231231
C1062,22513,,73,0.2167,20230101,20231231
C1062,22513,,74,0.2167,20230101,20231231
C1062,22513,,,0.2167,20230101,20231231
C1062,22514,,52,0.2126,20230101,20231231
C1062,22514,,73,0.2126,20230101,20231231
C1062,22514,,74,0.2126,20230101,20231231
C1062,22514,,,0.2126,20230101,20231231
C1747,50575,,52,0.1352,20230101,20231231
C1747,50575,,73,0.1352,20230101,20231231
C1747,50575,,74,0.1352,20230101,20231231
C1747,50575,,,0.1352,20230101,20231231
C1747,50951,,52,0.0307,20230101,20231231
C1747,50951,,73,0.0307,20230101,20231231
C1747,50951,,74,0.0307,20230101,20231231
C1747,50951,,,0.0307,20230101,20231231
C1747,50953,,52,0.1399,20230101,20231231
C1747,50953,,73,0.1399,20230101,20231231
C1747,50953,,74,0.1399,20230101,20231231
C1747,50953,,,0.1399,20230101,20231231
C1747,50955,,52,0.0884,20230101,20231231
C1747,50955,,73,0.0884,20230101,20231231
C1747,50955,,74,0.0884,20230101,20231231
C1747,50955,,,0.0884,20230101,20231231
C1747,50957,,52,0.0559,20230101,20231231
C1747,50957,,73,0.0559,20230101,20231231
C1747,50957,,74,0.0559,20230101,20231231
C1747,50957,,,0.0559,20230101,20231231
C1747,50961,,52,0.0818,20230101,20231231
C1747,50961,,73,0.0818,20230101,20231231
C1747,50961,,74,0.0818,20230101,20231231
C1747,50961,,,0.0818,20230101,20231231
C1747,50970,,52,0.0,20230101,20231231
C1747,50970,,73,0.0,20230101,20231231
C1747,50970,,74,0.0,20230101,20231231
C1747,50970,,,0.0,20230101,20231231
C1747,50972,,52,0.0,20230101,20231231
C1747,50972,,73,0.0,20230101,20231231
C1747,50972,,74,0.0,20230101,20231231
C1747,50972,,,0.0,20230101,20231231
C1747,50974,,52,0.0,20230101,20231231
C1747,50974,,73,0.0,20230101,20231231
C1747,50974,,74,0.0,20230101,20231231
C1747,50974,,,0.0,20230101,20231231
C1747,50976,,52,0.4345,20230101,20231231
C1747,50976,,73,0.4345,20230101,20231231
C1747,50976,,74,0.4345,20230101,20231231
C1747,50976,,,0.4345,20230101,20231231
C1747,50980,,52,0.0077,20230101,20231231
C1747,50980,,73,0.0077,20230101,20231231
C1747,50980,,74,0.0077,20230101,20231231
C1747,50980,,,0.0077,20230101,20231231
C1747,52344,,52,0.1023,20230101,20231231
C1747,52344,,73,0.1023,20230101,20231231
C1747,52344,,74,0.1023,20230101,20231231
C1747,52344,,,0.1023,20230101,20231231
C1747,52345,,52,0.1971,20230101,20231231
C1747,52345,,73,0.1971,20230101,20231231
C1747,52345,,74,0.1971,20230101,20231231
C1747,52345,,,0.1971,20230101,20231231
C1747,52346,,52,0.0014,20230101,20231231
C1747,52346,,73,0.0014,20230101,20231231
C1747,52346,,74,0.0014,20230101,20231231
C1747,52346,,,0.0014,20230101,20231231
C1747,52351,,52,0.0536,20230101,20231231
C1747,52351,,73,0.0536,20230101,20231231
C1747,52351,,74,0.0536,20230101,20231231
C1747,52351,,,0.0536,20230101,20231231
C1747,52352,,52,0.0645,20230101,20231231
C1747,52352,,73,0.0645,20230101,20231231
C1747,52352,,74,0.0645,20230101,20231231
C1747,52352,,,0.0645,20230101,20231231
C1747,52353,,52,0.0493,20230101,20231231
C1747,52353,,73,0.0493,20230101,20231231
C1747,52353,,74,0.0493,20230101,20231231
C1747,52353,,,0.0493,20230101,20231231
C1747,52354,,52,0.0574,20230101,20231231
C1747,52354,,73,0.0574,20230101,20231231
C1747,52354,,74,0.0574,20230101,20231231
C1747,52354,,,0.0574,20230101,20231231
C1747,52355,,52,0.0802,20230101,20231231
C1747,52355,,73,0.0802,20230101,20231231
C1747,52355,,74,0.0802,20230101,20231231
C1747,52355,,,0.0802,20230101,20231231
C1747,52356,,52,0.1015,20230101,20231231
C1747,52356,,73,0.1015,20230101,20231231
C1747,52356,,74,0.1015,20230101,20231231
C1747,52356,,,0.1015,20230101,20231231
C1747,C9761,,52,0.0432,20230101,20231231
C1747,C9761,,73,0.0432,20230101,20231231
C1747,C9761,,74,0.0432,20230101,20231231
C1747,C9761,,,0.0432,20230101,20231231
C1824,0408T,,52,0.4328,20230101,20231231
C1824,0408T,,73,0.4328,20230101,20231231
C1824,0408T,,74,0.4328,20230101,20231231
C1824,0408T,,,0.4328,20230101,20231231
C1825,0266T,,52,0.2224,20230101,20231231
C1825,0266T,,73,0.2224,20230101,20231231
C1825,0266T,,74,0.2224,20230101,20231231
C1825,0266T,,,0.2224,20230101,20231231
C1826,63685,,52,0.9125,20230101,20231231
C1826,63685,,73,0.9125,20230101,20231231
C1826,63685,,74,0.9125,20230101,20231231
C1826,63685,,,0.9125,20230101,20231231
C1827,64568,,52,0.915,20230101,20231231
C1827,64568,,73,0.915,20230101,20231231
C1827,64568,,74,0.915,20230101,20231231
C1827,64568,,,0.915,20230101,20231231
C1832,15100,,52,0.0056,20230101,20231231
C1832,15100,,73,0.0056,20230101,20231231
C1832,15100,,74,0.0056,20230101,20231231
C1832,15100,,,0.0056,20230101,20231231
C1832,15110,,52,0.0,20230101,20231231
C1832,15110,,73,0.0,20230101,20231231
C1832,15110,,74,0.0,20230101,20231231
C1832,15110,,,0.0,20230101,20231231
C1832,15115,,52,0.0,20230101,20231231
C1832,15115,,73,0.0,20230101,20231231
C1832,15115,,74,0.0,20230101,20231231
C1832,15115,,,0.0,20230101,20231231
C1832,15120,,52,0.019,20230101,20231231
C1832,15120,,73,0.019,20230101,20231231
C1832,15120,,74,0.019,20230101,20231231
C1832,15120,,,0.019,20230101,20231231
C1833,0525T,,52,0.4632,20230101,20231231
C1833,0525T,,73,0.4632,20230101,20231231
C1833,0525T,,74,0.4632,20230101,20231231
C1833,0525T,,,0.4632,20230101,20231231
C1833,0526T,,52,0.4632,20230101,20231231
C1833,0526T,,73,0.4632,20230101,20231231
C1833,0526T,,74,0.4632,20230101,20231231
C1833,0526T,,,0.4632,20230101,20231231
C1833,0527T,,52,0.9261,20230101,20231231
C1833,0527T,,73,0.9261,20230101,20231231
C1833,0527T,,74,0.9261,20230101,20231231
C1833,0527T,,,0.9261,20230101,20231231
C1839,0616T,,52,0.043,20230101,20231231
C1839,0616T,,73,0.043,20230101,20231231
C1839,0616T,,74,0.043,20230101,20231231
C1839,0616T,,,0.043,20230101,20231231
C1839,0617T,,52,0.0747,20230101,20231231
C1839,0617T,,73,0.0747,20230101,20231231
C1839,0617T,,74,0.0747,20230101,20231231
C1839,0617T,,,0.0747,20230101,20231231
C1839,0618T,,52,0.0784,20230101,20231231
C1839,0618T,,73,0.0784,20230101,20231231
C1839,0618T,,74,0.0784,20230101,20231231
C1839,0618T,,,0.0784,20230101,20231231
C1982,37242,,52,0.6425,20230101,20231231
C1982,37242,,73,0.6425,20230101,20231231
C1982,37242,,74,0.6425,20230101,20231231
C1982,37242,,,0.6425,20230101,20231231
C1982,37243,,52,0.249,20230101,20231231
C1982,37243,,73,0.249,20230101,20231231
C1982,37243,,74,0.249,20230101,20231231
C1982,37243,,,0.249,20230101,20231231
C1747,50080,,52,0.1134,20230701,20231231
C1747,50080,,73,0.1134,20230701,20231231
C1747,50080,,74,0.1134,20230701,20231231
C1747,50080,,,0.1134,20230701,20231231
C1747,50081,,52,0.1102,20230701,20231231
C1747,50081,,73,0.1102,20230701,20231231
C1747,50081,,74,0.1102,20230701,20231231
C1747,50081,,,0.1102,20230701,20231231
